ID,Question,Answer,Our System,Deepseek v3.1,GPT-5-mini,qwen3-235b-a22b
22,Lái ô tô chạy quá tốc độ từ 20km/h đến 35km/h bị phạt bao nhiêu?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 6, Khoản 6, Điểm a, phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng đối với người điều khiển xe ô tô chạy quá tốc độ quy định trên 20 km/h đến 35 km/h. Ngoài ra, bị trừ 04 điểm giấy phép lái xe theo quy định tại Điều 6, Khoản 16, Điểm b.","Lái ô tô chạy quá tốc độ từ 20 km/h đến 35 km/h bị phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng.

Căn cứ theo nghị định 168/2024/NĐ-CP, điều 6, khoản 6, điểm a.",,,"Theo quy định hiện hành tại Việt Nam (cụ thể là Nghị định 100/2019/NĐ-CP và được sửa đổi, bổ sung bởi Nghị định 123/2021/NĐ-CP), mức phạt đối với hành vi **lái ô tô chạy quá tốc độ từ 20km/h đến 35km/h** như sau:

### 1. **Mức phạt tiền:**
- **7.000.000 VND đến 8.000.000 VND** (bảy triệu đến tám triệu đồng).

### 2. **Hình phạt bổ sung:**
- **Tước giấy phép lái xe từ 2 đến 4 tháng** (tùy theo mức độ vi phạm và quyết định của cơ quan chức năng).

### 3. **Căn cứ pháp lý:**
- Điểm b, Khoản 5, Điều 5 của Nghị định 100/2019/NĐ-CP (đã được sửa đổi bởi Nghị định 123/2021/NĐ-CP).

### Lưu ý:
- Mức phạt cụ thể có thể thay đổi tùy theo quyết định của lực lượng chức năng (Cảnh sát Giao thông) dựa trên tình tiết vi phạm.
- Nếu vi phạm trên đường cao tốc hoặc đường có tốc độ cao, mức phạt có thể nghiêm trọng hơn.

**Ví dụ:** Nếu bạn chạy quá tốc độ 30km/h, bạn có thể bị phạt **7,5 triệu đồng** và tước GPLX **3 tháng**.

Để cập nhật thông tin chính xác nhất, bạn nên tham khảo trực tiếp văn bản pháp luật hoặc liên hệ cơ quan chức năng địa phương."
23,"Lái ô tô ""mát ga"" chạy quá tốc độ trên 35km/h thì phạt bao nhiêu?","Căn cứ Nghị định 168/2024/NĐ-CP, Điều 6, Khoản 7, Điểm a, phạt tiền từ 12.000.000 đồng đến 14.000.000 đồng đối với người điều khiển xe ô tô chạy quá tốc độ quy định trên 35 km/h. Ngoài ra, bị trừ 06 điểm giấy phép lái xe theo quy định tại Điều 6, Khoản 16, Điểm c.","Lái ô tô chạy quá tốc độ quy định trên 35 km/h sẽ bị phạt tiền từ 12.000.000 đồng đến 14.000.000 đồng.

Căn cứ theo nghị định 168/2024/NĐ-CP, điều 6, khoản 7, điểm a.",,,"Theo quy định hiện hành tại Việt Nam, việc ""lái ô tô **mát ga**"" (coi là chạy xe không sử dụng chân ga, có thể ở chế độ trượt cần số về N - không số) **không bị cấm hoàn toàn**, nhưng có một số trường hợp cụ thể bị xử phạt. Dưới đây là phân tích chi tiết:

---

### 1. **Nếu vi phạm do chạy xe không sử dụng số (chế độ trượt số - chạy ""máy mì"")**
- **Quy định bị cấm**: Theo **Điểm c, Khoản 5, Điều 5 của Nghị định 100/2019/NĐ-CP**, người lái xe **không được để xe chạy quá tốc độ cho phép** và **cấm chạy xe không có số (số N) khi xuống dốc**.
- **Mức phạt**:  
  - **800.000 - 1.000.000 VND** (áp dụng cho ô tô con, xe dưới 30 chỗ).  
  - **1.000.000 - 2.000.000 VND** (áp dụng cho xe tải, xe trên 30 chỗ).  
  - **Lý do phạt**: Nguy cơ mất kiểm soát phương tiện, gây nguy hiểm cho người tham gia giao thông.

---

### 2. **Nếu vi phạm do **vượt quá tốc độ 35 km/h** (dù có sử dụng ga hay không)**
- **Quy định**: Tốc độ tối đa cho phép phụ thuộc vào từng khu vực (ví dụ: khu đông dân cư 50 km/h, đường ngoài đô thị 60-90 km/h). Nếu phương tiện **vượt quá tốc độ quy định** (dù có ga hay không), người lái sẽ bị xử phạt.
- **Mức phạt**:  
  - **Vượt tốc độ 5-10 km/h**: 800.000 - 1.000.000 VND.  
  - **Vượt tốc độ trên 10-20 km/h**: 2.000.000 - 3.000.000 VND.  
  - **Vượt tốc độ trên 20 km/h**: 4.000.000 - 6.000.000 VND.  
  - **Tước GPLX 1-3 tháng** (nếu vượt quá 20 km/h).  

---

### 3. **Lưu ý quan trọng**
- **""Mát ga"" không phải lỗi vi phạm** nếu không kết hợp với các hành vi bị cấm (như chạy không số, vượt quá tốc độ).  
- **Tốc độ 35 km/h** có thể là giới hạn tốc độ của một khu vực cụ thể (ví dụ: trường học, bệnh viện). Nếu vượt quá giới hạn này, dù có ga hay không, bạn vẫn bị phạt vì **vi phạm tốc độ**.

---

### Kết luận
- **Nếu chạy ""máy mì"" (số N) trên dốc**: Phạt **800.000 - 1.000.000 VND**.  
- **Nếu vượt quá tốc độ cho phép (ví dụ 35 km/h)**: Phạt từ **800.000 VND đến 6.000.000 VND** tùy mức độ.  

**Lời khuyên**: Luôn tuân thủ tốc độ và sử dụng số phù hợp để đảm bảo an toàn và tránh bị xử phạt."
24,Đi xe máy chạy quá tốc độ từ 5km/h đến dưới 10km/h phạt bao nhiêu?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 7, Khoản 2, Điểm b, phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe mô tô, xe gắn máy chạy quá tốc độ quy định từ 05 km/h đến dưới 10 km/h.","Đi xe máy chạy quá tốc độ từ 5 km/h đến dưới 10 km/h bị phạt tiền từ 400.000 đồng đến 600.000 đồng.

Căn cứ theo nghị định 168/2024/NĐ-CP, điều 7, khoản 2, điểm b.",,,"Theo quy định hiện hành tại Việt Nam, mức phạt đối với hành vi điều khiển xe máy chạy quá tốc độ từ **5km/h đến dưới 10km/h** được áp dụng như sau:

### **Mức phạt tiền:**
- **800.000 VND đến 1.000.000 VND** (theo Khoản 4, Điều 6 của Nghị định 12/2022/NĐ-CP sửa đổi Nghị định 100/2019/NĐ-CP).

### **Các hình phạt bổ sung:**
- **Không áp dụng tước giấy phép lái xe** với trường hợp vượt tốc độ từ 5–10km/h. Biện pháp này chỉ được áp dụng nếu vi phạm vượt quá 10km/h trở lên (tước GPLX từ 1–3 tháng).

### **Căn cứ pháp lý:**
- **Nghị định 12/2022/NĐ-CP** (có hiệu lực từ ngày 01/03/2022), sửa đổi, bổ sung một số điều của Nghị định 100/2019/NĐ-CP về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ.

### **Lưu ý:**
- Mức phạt cụ thể do lực lượng chức năng quyết định trong phạm vi quy định.
- Nếu vi phạm ở khu vực đông dân cư, tốc độ tối đa cho xe máy thường là **40km/h**, do đó chạy 45–50km/h sẽ thuộc mức phạt này.

Đảm bảo tuân thủ tốc độ để an toàn và tránh bị xử phạt! 🚦"
25,Đi xe máy chạy quá tốc độ từ 10km/h đến 20km/h phạt bao nhiêu?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 7, Khoản 4, Điểm a, phạt tiền từ 800.000 đồng đến 1.000.000 đồng đối với người điều khiển xe mô tô, xe gắn máy chạy quá tốc độ quy định từ 10 km/h đến 20 km/h.","Đi xe máy chạy quá tốc độ từ 10 km/h đến 20 km/h sẽ bị phạt tiền từ 800.000 đồng đến 1.000.000 đồng.

Căn cứ theo nghị định 168/2024/NĐ-CP, điều 7, khoản 4, điểm a.",,,"Theo quy định hiện hành tại Việt Nam, mức phạt đối với hành vi **đi xe máy vượt quá tốc độ từ 10 km/h đến 20 km/h** được quy định tại **Nghị định 123/2021/NĐ-CP** (có hiệu lực từ ngày 01/01/2022). Cụ thể:

### **Mức phạt tiền:**
- **6.000.000 VND đến 8.000.000 VND** cho người điều khiển xe mô tô, xe gắn máy (kể cả xe điện) và các phương tiện tương tự.

### **Căn cứ pháp lý:**
- **Điều 6, Khoản 4** của Nghị định 123/2021/NĐ-CP quy định xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt.

### **Lưu ý:**
- Mức phạt cụ thể do lực lượng chức năng quyết định dựa trên tình tiết vi phạm.
- Không áp dụng hình thức tước giấy phép lái xe cho trường hợp vượt tốc độ từ 10–20 km/h (hình phạt này chỉ áp dụng khi vượt quá 20 km/h trở lên).

### **Ví dụ:**
- Nếu tốc độ cho phép là 40 km/h, nhưng bạn chạy ở 50–60 km/h, bạn sẽ bị phạt từ **6–8 triệu đồng**.

Để đảm bảo an toàn và tránh vi phạm, hãy tuân thủ giới hạn tốc độ quy định tại từng khu vực (thường là 40 km/h trong đô thị và 60 km/h ngoài khu dân cư)."
26,Lái ô tô có nồng độ cồn mức 2 (từ 0.25 đến 0.4 mg/l khí thở) bị phạt bao nhiêu?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 6, Khoản 9, Điểm a, phạt tiền từ 18.000.000 đồng đến 20.000.000 đồng đối với người điều khiển xe ô tô có nồng độ cồn vượt quá 50 miligam đến 80 miligam/100 mililít máu hoặc vượt quá 0,25 miligam đến 0,4 miligam/1 lít khí thở. Ngoài ra, bị trừ 10 điểm giấy phép lái xe theo quy định tại Điều 6, Khoản 16, Điểm d.","Lái ô tô có nồng độ cồn mức 2 (từ 0,25 đến 0,4 mg/l khí thở) bị phạt tiền từ 18.000.000 đồng đến 20.000.000 đồng.

Căn cứ theo nghị định 168/2024/NĐ-CP, điều 6, khoản 9, điểm a.",,,"Theo quy định hiện hành tại Việt Nam (Căn cứ vào Nghị định 100/2019/NĐ-CP và Nghị định 123/2021/NĐ-CP sửa đổi, bổ sung), mức phạt đối với người lái ô tô vi phạm nồng độ cồn **cấp độ 2** (từ **0.25 đến 0.4 mg/l khí thở**) cụ thể như sau:

### 1. **Mức phạt tiền:**
   - **30.000.000 VND đến 40.000.000 VND** (tùy theo mức độ vi phạm và quyết định của cơ quan xử phạt).

### 2. **Hình phạt bổ sung:**
   - **Tước quyền sử dụng giấy phép lái xe từ 10 đến 16 tháng**.
   - **Tạm giữ phương tiện từ 7 đến 15 ngày** (tùy quyết định của lực lượng chức năng).

### 3. **Lưu ý:**
   - Nếu vi phạm xảy ra tai nạn giao thông hoặc tái phạm, mức phạt có thể tăng nặng, thậm chí xử lý hình sự theo Bộ luật Hình sự 2015 (sửa đổi 2017).
   - Mức phạt áp dụng cho **ô tô** (xe con, xe tải, xe khách...). Với xe máy, mức phạt thấp hơn.

### Căn cứ pháp lý:
   - **Điểm c, Khoản 8, Điều 5** Nghị định 100/2019/NĐ-CP (được sửa đổi bởi Nghị định 123/2021/NĐ-CP).

**Ví dụ:**  
Nếu bạn bị kiểm tra nồng độ cồn ở mức 0.3 mg/l khí thở khi lái ô tô, bạn có thể bị phạt **35 triệu VND** và tước GPLX **12 tháng**.

Luôn tuân thủ quy định để đảm bảo an toàn và tránh hậu quả nghiêm trọng! 🚗💨"
27,Lái ô tô say xỉn mức cao nhất (trên 0.4 mg/l khí thở) bị phạt nặng thế nào?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 6, Khoản 11, Điểm a, phạt tiền từ 30.000.000 đồng đến 40.000.000 đồng đối với người điều khiển xe ô tô có nồng độ cồn vượt quá 80 miligam/100 mililít máu hoặc vượt quá 0,4 miligam/1 lít khí thở. Ngoài ra, bị áp dụng hình thức xử phạt bổ sung Tước quyền sử dụng giấy phép lái xe từ 22 tháng đến 24 tháng theo Điều 6, Khoản 15, Điểm c.","Lái ô tô say xỉn mức cao nhất (trên 0,4 mg/l khí thở) bị phạt tiền từ 30.000.000 đồng đến 40.000.000 đồng.

Căn cứ theo nghị định 168/2024/NĐ-CP, điều 6, khoản 11, điểm a.",,,"Ở Việt Nam, hành vi lái xe ô tô trong tình trạng say xỉn với nồng độ cồn **trên 0.4 mg/l khí thở** (mức cao nhất theo quy định) bị xử lý nghiêm khắc theo Nghị định 100/2019/NĐ-CP và Bộ Luật Hình sự 2015 (sửa đổi 2017). Cụ thể như sau:

---

### **1. Xử phạt hành chính (theo Nghị định 100/2019/NĐ-CP):**
- **Phạt tiền từ 30.000.000 - 40.000.000 VND**.
- **Tước quyền sử dụng Giấy phép lái xe (GPLX)** từ **22 - 24 tháng**.
- **Tịch thu phương tiện tạm thời** (nếu gây tai nạn hoặc có nguy cơ cao).
- **Buộc chi trả chi phí khắc phục hậu quả** (nếu gây tai nạn).

---

### **2. Trách nhiệm hình sự (nếu gây tai nạn nghiêm trọng):**
Theo Điều 260 Bộ Luật Hình sự 2015 (sửa đổi 2017):
- **Phạt tiền từ 30.000.000 - 100.000.000 VND**, **phạt cải tạo không giam giữ đến 3 năm** hoặc **tù từ 3 - 10 năm** nếu gây thiệt hại:
  - **Tử vong 1 người**, **thương tích 61% trở lên cho 1 người**, hoặc **tổng cộng thương tích ≥ 122% cho 2-3 người**.
  - **Gây thiệt hại tài sản từ 100.000.000 VND trở lên**.
- **Tăng nặng hình phạt** nếu tái phạm, bỏ trốn, hoặc không hợp tác cứu nạn.

---

### **3. Hình phạt bổ sung:**
- **Tước GPLX vĩnh viễn** nếu tái vi phạm hoặc gây hậu quả đặc biệt nghiêm trọng.
- **Công khai thông tin cá nhân** trên phương tiện truyền thông theo Nghị định 100/2019/NĐ-CP.
- **Gắn thiết bị đo nồng độ cồn bắt buộc** vào phương tiện nếu được cấp lại GPLX sau thời gian tước.

---

### **Lưu ý quan trọng:**
- **Từ chối kiểm tra nồng độ cồn** cũng bị xử phạt như vi phạm ở mức cao nhất.
- **Tài xế xe kinh doanh vận tải** được áp dụng mức xử phạt tương tự ngay cả khi nồng độ cồn thấp hơn (vì quy định ""0 cồn"" áp dụng).

---

**Kết luận:** Mức xử phạt rất nghiêm trọng, không chỉ về mặt tài chính mà còn ảnh hưởng đến quyền lợi và khả năng lái xe lâu dài. Người dân cần tuyệt đối tuân thủ quy định ""chất cồn - không lái xe"" để đảm bảo an toàn và tránh hậu quả pháp lý. Trong trường hợp cần tư vấn cụ thể, nên tham khảo luật sư hoặc cơ quan chức năng."
28,Đi xe máy có nồng độ cồn mức 2 (từ 0.25 đến 0.4 mg/l khí thở) bị phạt bao nhiêu?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 7, Khoản 8, Điểm b, phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng đối với người điều khiển xe mô tô, xe gắn máy có nồng độ cồn vượt quá 50 miligam đến 80 miligam/100 mililít máu hoặc vượt quá 0,25 miligam đến 0,4 miligam/1 lít khí thở. Ngoài ra, bị trừ 10 điểm giấy phép lái xe theo quy định tại Điều 7, Khoản 13, Điểm d.","Đi xe máy có nồng độ cồn mức 2 (từ 0,25 đến 0,4 mg/l khí thở) bị phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng.

Căn cứ theo nghị định 168/2024/NĐ-CP, điều 7, khoản 8, điểm b và điều 8, khoản 7, điểm a.",,,"The penalty for riding a motorcycle with a blood alcohol concentration (BAC) level 2 (0.25–0.4 mg/l in breath) in Vietnam is regulated under **Decree 100/2019/ND-CP** (amended by Decree 123/2021/ND-CP). Here are the specific consequences:

### 1. **Monetary Fine**  
   - **Fine range**: **4,000,000 VND to 5,000,000 VND** (applied to motorcyclists).  
   - The exact amount depends on the discretion of the authorities, considering aggravating/mitigating circumstances.

### 2. **Driver's License Suspension**  
   - **Suspension period**: **10–12 months** from the date of the violation.  
   - During this time, the driver is prohibited from operating any motor vehicle.

### 3. **Vehicle Impoundment**  
   - The motorcycle may be temporarily confiscated for **7–15 days** as an administrative measure.

### 4. **Additional Notes**  
   - **Refusal to test**: If the driver refuses alcohol testing, penalties may be harsher (e.g., higher fines or criminal liability if an accident occurs).  
   - **Repeat offenses**: Penalties increase significantly for repeat violations within 12 months.  
   - **Criminal liability**: If the violation causes an accident, criminal charges may apply under the Penal Code.

### Legal Basis  
- **Decree 100/2019/ND-CP** (amended by Decree 123/2021/ND-CP) outlines administrative penalties for traffic violations.  
- **Article 6, Clause 4** specifies penalties for alcohol-related offenses for motorcyclists.

Always prioritize safety and avoid driving under the influence of alcohol."
29,Đi xe máy say xỉn mức cao nhất (trên 0.4 mg/l khí thở) bị phạt bao nhiêu?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 7, Khoản 9, Điểm d, phạt tiền từ 8.000.000 đồng đến 10.000.000 đồng đối với người điều khiển xe mô tô, xe gắn máy có nồng độ cồn vượt quá 80 miligam/100 mililít máu hoặc vượt quá 0,4 miligam/1 lít khí thở. Ngoài ra, bị áp dụng hình thức xử phạt bổ sung Tước quyền sử dụng giấy phép lái xe từ 22 tháng đến 24 tháng theo Điều 7, Khoản 12, Điểm c.","Đi xe máy say xỉn mức cao nhất (trên 0,4 mg/l khí thở) bị phạt tiền từ 18.000.000 đồng đến 20.000.000 đồng.

Căn cứ theo nghị định 168/2024/NĐ-CP, điều 8, khoản 9, điểm a.",,,"Tại Việt Nam, mức phạt đối với người điều khiển xe máy say xỉn với nồng độ cồn **trên 0.4 mg/l khí thở** (mức cao nhất theo quy định) được áp dụng theo **Nghị định 123/2021/NĐ-CP** (sửa đổi, bổ sung từ Nghị định 100/2019/NĐ-CP). Cụ thể:

### 1. **Mức phạt tiền:**
- **Phạt từ 6.000.000 VND đến 8.000.000 VND** cho hành vi điều khiển xe máy vượt quá 0.4 mg/l khí thở.

### 2. **Các hình phạt bổ sung:**
- **Tước giấy phép lái xe (GPLX)** từ **10 đến 12 tháng**.
- **Tạm giữ phương tiện** từ **7 đến 15 ngày**.

### 3. **Lưu ý:**
- Nếu vi phạm gây tai nạn giao thông, người vi phạm có thể bị xử lý hình sự theo **Bộ luật Hình sự 2015** (sửa đổi 2017), với mức phạt tù từ **1 đến 5 năm** nếu gây thiệt hại nghiêm trọng.
- Mức phạt có thể tăng nếu người vi phạm tái phạm hoặc có các tình tiết tăng nặng.

### Căn cứ pháp lý:
- **Điểm c Khoản 6 Điều 6** Nghị định 123/2021/NĐ-CP.
- **Điểm a Khoản 4 Điều 32** Luật Giao thông đường bộ 2008.

Luật sư hoặc cơ quan chức năng sẽ quyết định mức phạt cụ thể dựa trên tình tiết vụ việc. Để đảm bảo an toàn và tránh rủi ro pháp lý, tuyệt đối không điều khiển phương tiện khi đã sử dụng rượu bia."
30,Lái ô tô mà trong cơ thể có chất ma túy bị phạt bao nhiêu?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 6, Khoản 11, Điểm c, phạt tiền từ 30.000.000 đồng đến 40.000.000 đồng đối với người điều khiển xe ô tô trên đường mà trong cơ thể có chất ma túy hoặc chất kích thích khác mà pháp luật cấm sử dụng. Ngoài ra, bị áp dụng hình thức xử phạt bổ sung Tước quyền sử dụng giấy phép lái xe từ 22 tháng đến 24 tháng theo Điều 6, Khoản 15, Điểm c.","Lái ô tô mà trong cơ thể có chất ma túy sẽ bị phạt tiền từ 30.000.000 đồng đến 40.000.000 đồng.

Căn cứ theo nghị định 168/2024/NĐ-CP, điều 6, khoản 11, điểm c.",,,"Tại Việt Nam, việc lái ô tô khi trong cơ thể có chất ma túy bị xử phạt nghiêm khắc theo **Nghị định số 123/2021/NĐ-CP** (có hiệu lực từ ngày 01/01/2022), cụ thể như sau:

---

### **1. Xử phạt hành chính:**
- **Mức phạt tiền:**  
  - **30.000.000 - 40.000.000 VND** (cao hơn 2-3 lần so với trước đây).  
  - Áp dụng cho người điều khiển **ô tô** (kể cả xe khách, xe tải, xe con) sử dụng chất ma túy (dù không gây tai nạn).  

- **Tước giấy phép lái xe (GPLX):**  
  - **22 - 24 tháng** (trước đây là 12-24 tháng).  
  - Nếu vi phạm nhiều lần hoặc tái phạm, thời gian tước GPLX có thể kéo dài hơn hoặc bị **hủy GPLX**.

- **Các biện pháp khắc phục bổ sung:**  
  - **Tạm giữ phương tiện 30 ngày.**  
  - Buộc chi trả chi phí định lượng chất ma túy trong máu hoặc nước tiểu.

---

### **2. Trách nhiệm hình sự (nếu gây tai nạn):**  
Theo **Bộ luật Hình sự 2015 (sửa đổi 2017)**, người vi phạm có thể bị xử lý hình sự nếu gây ra hậu quả nghiêm trọng như:
- **Làm chết người, gây thương tích nặng (tỷ lệ 31% trở lên), hoặc thiệt hại tài sản từ 50 triệu đồng trở lên.**  
- Hành vi cố ý điều khiển phương tiện gây nguy hiểm cho nhiều người.

**Hình phạt:**  
- **Phạt tiền từ 30.000.000 - 100.000.000 VND**, cải tạo không giam giữ đến 3 năm, hoặc **tù từ 1 - 15 năm** tùy mức độ thiệt hại.  
- **Cấm hành nghề lái xe từ 1 - 5 năm.**

---

### **3. Lưu ý quan trọng:**
- **Chất ma túy** bao gồm cả chất dạng **thuốc phiện, cần sa, amphetamine, cocaine, heroin**...  
- **Không cần nồng độ cụ thể** – chỉ cần phát hiện chất ma túy trong cơ thể là vi phạm.  
- **Tái phạm** (vi phạm lần 2 trong 12 tháng) sẽ bị xử phạt **tăng 2 lần mức tiền** và tước GPLX lâu hơn.

---

### **Căn cứ pháp lý:**
- **Điểm a, Khoản 8, Điều 5** của Nghị định 123/2021/NĐ-CP.  
- **Điều 260, Bộ luật Hình sự 2015 (sửa đổi 2017).**

Việc xử phạt nhằm đảm bảo an toàn giao thông và ngăn chặn hành vi liều lĩnh, đe dọa tính mạng người khác. Nếu cần thông tin chi tiết hơn, bạn nên tham khảo ý kiến luật sư hoặc cơ quan chức năng."
31,Đi xe máy mà dương tính với ma túy bị phạt bao nhiêu?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 7, Khoản 9, Điểm e, phạt tiền từ 8.000.000 đồng đến 10.000.000 đồng đối với người điều khiển xe mô tô, xe gắn máy trên đường mà trong cơ thể có chất ma túy hoặc chất kích thích khác mà pháp luật cấm sử dụng. Ngoài ra, bị áp dụng hình thức xử phạt bổ sung Tước quyền sử dụng giấy phép lái xe từ 22 tháng đến 24 tháng theo Điều 7, Khoản 12, Điểm c.","Đi xe máy mà dương tính với ma túy sẽ bị phạt tiền từ 8.000.000 đồng đến 10.000.000 đồng.

Căn cứ theo nghị định 168/2024/NĐ-CP, điều 7, khoản 9, điểm e quy định phạt tiền từ 8.000.000 đồng đến 10.000.000 đồng đối với người điều khiển xe mô tô, xe gắn máy mà trong cơ thể có chất ma túy hoặc chất kích thích khác mà pháp luật cấm sử dụng.",,,"Theo quy định hiện hành tại Việt Nam, cụ thể là **Nghị định 123/2021/NĐ-CP** (sửa đổi, bổ sung Nghị định 100/2019/NĐ-CP), mức phạt đối với người điều khiển **xe máy dương tính với ma túy** như sau:

### 1. **Mức phạt tiền:**
- **4.000.000 VND – 6.000.000 VND** cho lần vi phạm đầu tiên.  
- **8.000.000 VND – 12.000.000 VND** nếu tái phạm trong vòng 12 tháng kể từ khi chấp hành xong hình phạt trước đó.

### 2. **Hình phạt bổ sung:**
- **Tước giấy phép lái xe (GPLX)**:  
  - **10 – 12 tháng** cho lần vi phạm đầu tiên.  
  - **16 – 18 tháng** nếu tái phạm.  
- **Tạm giữ phương tiện** (xe máy) tối đa 7 ngày để hoàn tất xử lý vi phạm.

### 3. **Lưu ý quan trọng:**
- **Không cần chứng minh mức độ ảnh hưởng**: Chỉ cần xét nghiệm dương tính với chất ma túy (cần sa, heroin, methamphetamine, v.v.) là bị xử phạt, bất kể mức độ ảnh hưởng đến khả năng lái xe.  
- **Xử lý nghiêm khắc với tái phạm**: Mức phạt tăng dần và thời gian tước GPLX kéo dài hơn.  
- **Phương thức kiểm tra**: Lực lượng chức năng có thể sử dụng xét nghiệm nhanh (nước bọt, nước tiểu) hoặc yêu cầu xét nghiệm máu để xác định. Từ chối kiểm tra cũng bị xử lý nghiêm.

### 4. **Căn cứ pháp lý:**
- **Điều 6, Nghị định 123/2021/NĐ-CP**: Quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt.

**Ví dụ:**  
Nếu bạn bị kiểm tra và xét nghiệm dương tính với ma túy lần đầu, bạn sẽ bị phạt **4–6 triệu đồng** và **tước GPLX 10–12 tháng**. Nếu tái phạm, mức phạt tăng lên **8–12 triệu đồng** và **tước GPLX 16–18 tháng**.

Luật này nhằm đảm bảo an toàn giao thông và ngăn chặn nghiêm ngặt việc sử dụng chất cấm khi tham gia giao thông."
32,Lái ô tô không chấp hành yêu cầu thổi nồng độ cồn của công an bị phạt bao nhiêu?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 6, Khoản 11, Điểm b, phạt tiền từ 30.000.000 đồng đến 40.000.000 đồng đối với người điều khiển xe ô tô không chấp hành yêu cầu kiểm tra về nồng độ cồn của người thi hành công vụ. Ngoài ra, bị áp dụng hình thức xử phạt bổ sung Tước quyền sử dụng giấy phép lái xe từ 22 tháng đến 24 tháng theo Điều 6, Khoản 15, Điểm c.","Lái ô tô không chấp hành yêu cầu kiểm tra nồng độ cồn của người thi hành công vụ sẽ bị phạt tiền từ 30.000.000 đồng đến 40.000.000 đồng.

Căn cứ theo nghị định 168/2024/NĐ-CP, điều 6, khoản 11, điểm b.",,,"Tại Việt Nam, hành vi **lái ô tô không chấp hành yêu cầu kiểm tra nồng độ cồn của lực lượng chức năng** bị xử phạt nghiêm khắc theo quy định pháp luật. Cụ thể:

### 1. **Mức phạt hành chính**
- **Phạt tiền từ 35.000.000 VND đến 40.000.000 VND** đối với người điều khiển ô tô (theo Nghị định 123/2021/NĐ-CP sửa đổi, Khoản 8 Điều 5).
- **Phạt tiền từ 8.000.000 VND đến 12.000.000 VND** đối với người điều khiển xe mô tô, xe gắn máy (Khoản 7 Điều 6).

### 2. **Hình thức xử lý bổ sung**
- **Tước giấy phép lái xe từ 1 đến 3 tháng** với lần vi phạm đầu tiên (hoặc 3–5 tháng nếu tái phạm trong 12 tháng).
- **Tịch thu phương tiện** nếu vi phạm nhiều lần hoặc có dấu hiệu chống đối (tùy tình tiết cụ thể).

### 3. **Trách nhiệm hình sự (nếu có)**
Nếu người vi phạm **dùng vũ lực, đe dọa hoặc cản trở người thi hành công vụ**, có thể bị truy cứu trách nhiệm hình sự theo **Điều 330 Bộ Luật Hình sự** (Tội chống người thi hành công vụ), với mức phạt lên đến **3 năm tù**.

### 4. **Lưu ý**
- Lực lượng công an có quyền yêu cầu kiểm tra nồng độ cồn bất kỳ lúc nào để đảm bảo an toàn giao thông.
- Không chấp hành yêu cầu này được coi là **vi phạm nghiêm trọng**, ngay cả khi không có dấu hiệu say xỉn.

**Khuyến nghị:** Luôn tuân thủ yêu cầu của lực lượng chức năng để tránh hậu quả pháp lý và đảm bảo an toàn cho bản thân, người khác."
